step,val_loss,epoch,train_loss
3,30036.201171875,0,
7,30004.193359375,1,
11,29969.591796875,2,
15,29929.671875,3,
19,29882.14453125,4,
23,29824.392578125,5,
27,29756.15625,6,
31,29675.849609375,7,
35,29581.2578125,8,
39,29471.26953125,9,
43,29344.265625,10,
47,29198.033203125,11,
49,,12,31110.87890625
51,29030.470703125,12,
55,28839.548828125,13,
59,28623.05078125,14,
63,28379.109375,15,
67,28105.458984375,16,
71,27799.392578125,17,
75,27458.791015625,18,
79,27082.51953125,19,
83,26669.880859375,20,
87,26219.88671875,21,
91,25730.693359375,22,
95,25200.8125,23,
99,,24,34433.43359375
99,24628.423828125,24,
103,24013.5703125,25,
107,23356.7578125,26,
111,22659.333984375,27,
115,21924.875,28,
119,21155.4140625,29,
123,20349.98046875,30,
127,19514.3671875,31,
131,18651.591796875,32,
135,17769.578125,33,
139,16870.580078125,34,
143,15963.0244140625,35,
147,15053.2919921875,36,
149,,37,16198.6611328125
151,14146.2939453125,37,
155,13248.447265625,38,
159,12368.443359375,39,
163,11514.8935546875,40,
167,10695.8916015625,41,
171,9916.4775390625,42,
175,9182.7314453125,43,
179,8502.138671875,44,
183,7880.12548828125,45,
187,7318.50390625,46,
191,6818.5380859375,47,
195,6377.8798828125,48,
199,,49,9560.9423828125
199,5998.41552734375,49,
203,5677.70166015625,50,
207,5409.68603515625,51,
211,5190.048828125,52,
215,5012.2529296875,53,
219,4871.55029296875,54,
223,4762.2001953125,55,
227,4677.79052734375,56,
231,4613.0771484375,57,
235,4562.36376953125,58,
239,4523.4736328125,59,
243,4492.234375,60,
247,4465.9072265625,61,
249,,62,4999.81591796875
251,4442.7216796875,62,
255,4421.86328125,63,
259,4402.43603515625,64,
263,4383.68701171875,65,
267,4366.5283203125,66,
271,4349.724609375,67,
275,4332.91015625,68,
279,4316.53515625,69,
283,4300.19287109375,70,
287,4284.02734375,71,
291,4267.71240234375,72,
295,4252.0458984375,73,
299,,74,5328.06689453125
299,4237.3046875,74,
303,4223.96044921875,75,
307,4210.32080078125,76,
311,4196.5908203125,77,
315,4182.517578125,78,
319,4168.66455078125,79,
323,4154.73486328125,80,
327,4141.388671875,81,
331,4129.3203125,82,
335,4117.5634765625,83,
339,4105.41552734375,84,
343,4093.36767578125,85,
347,4081.08740234375,86,
349,,87,4269.95751953125
351,4068.881103515625,87,
355,4057.16796875,88,
359,4046.390869140625,89,
363,4036.38671875,90,
367,4026.206298828125,91,
371,4014.959716796875,92,
375,4003.89111328125,93,
379,3993.044921875,94,
383,3982.932861328125,95,
387,3973.06591796875,96,
391,3962.608154296875,97,
395,3952.059814453125,98,
399,,99,5054.435546875
399,3941.35009765625,99,
