epoch,val_loss,step,train_loss
0,30052.173828125,3,
1,30025.037109375,7,
2,29995.40625,11,
3,29960.31640625,15,
4,29918.962890625,19,
5,29869.935546875,23,
6,29811.216796875,27,
7,29741.791015625,31,
8,29660.01171875,35,
9,29564.380859375,39,
10,29452.94921875,43,
11,29323.76171875,47,
12,,49,31265.07421875
12,29173.751953125,51,
13,29001.365234375,55,
14,28805.39453125,59,
15,28582.87890625,63,
16,28331.62109375,67,
17,28049.857421875,71,
18,27735.255859375,75,
19,27386.080078125,79,
20,27000.064453125,83,
21,26575.712890625,87,
22,26111.02734375,91,
23,25602.859375,95,
24,,99,34918.84765625
24,25051.51171875,99,
25,24455.65625,103,
26,23817.583984375,107,
27,23136.705078125,111,
28,22414.845703125,115,
29,21654.28125,119,
30,20857.9609375,123,
31,20031.126953125,127,
32,19174.876953125,131,
33,18293.59375,135,
34,17392.28515625,139,
35,16479.283203125,143,
36,15558.9150390625,147,
37,,149,16806.025390625
37,14637.6044921875,151,
38,13722.865234375,155,
39,12821.3955078125,159,
40,11941.2470703125,163,
41,11092.8935546875,167,
42,10282.9677734375,171,
43,9514.8134765625,175,
44,8797.9296875,179,
45,8136.70654296875,183,
46,7535.87890625,187,
47,6997.705078125,191,
48,6525.0,195,
49,,199,9504.4677734375
49,6113.7197265625,199,
50,5762.89794921875,203,
51,5468.91552734375,207,
52,5226.16357421875,211,
53,5031.5126953125,215,
54,4877.8828125,219,
55,4758.9931640625,223,
56,4669.42138671875,227,
57,4600.58349609375,231,
58,4546.8486328125,235,
59,4504.81591796875,239,
60,4470.30859375,243,
61,4441.59716796875,247,
62,,249,5401.04638671875
62,4417.50341796875,251,
63,4395.69580078125,255,
64,4376.31201171875,259,
65,4358.7470703125,263,
66,4341.42724609375,267,
67,4324.2509765625,271,
68,4307.55029296875,275,
69,4291.0166015625,279,
70,4274.90673828125,283,
71,4259.78076171875,287,
72,4244.56982421875,291,
73,4229.64599609375,295,
74,,299,5642.00146484375
74,4214.42919921875,299,
75,4199.22705078125,303,
76,4184.90673828125,307,
77,4171.310546875,311,
78,4158.10595703125,315,
79,4144.26953125,319,
80,4130.244140625,323,
81,4116.3486328125,327,
82,4102.56884765625,331,
83,4089.125,335,
84,4076.142822265625,339,
85,4063.306396484375,343,
86,4050.78369140625,347,
87,,349,4585.197265625
87,4038.32958984375,351,
88,4025.69287109375,355,
89,4012.998291015625,359,
90,4001.3740234375,363,
91,3990.501708984375,367,
92,3979.3876953125,371,
93,3967.829345703125,375,
94,3956.207763671875,379,
95,3944.255126953125,383,
96,3932.13330078125,387,
97,3920.385986328125,391,
98,3909.427001953125,395,
99,,399,5047.99658203125
99,3899.160888671875,399,
