step,val_loss,epoch,train_loss
3,30058.701171875,0,
7,30022.908203125,1,
11,29982.005859375,2,
15,29934.744140625,3,
19,29880.279296875,4,
23,29817.919921875,5,
27,29745.263671875,6,
31,29661.09765625,7,
35,29563.671875,8,
39,29450.720703125,9,
43,29319.47265625,10,
47,29168.451171875,11,
49,,12,31116.93359375
51,28996.927734375,12,
55,28802.6484375,13,
59,28582.84375,14,
63,28336.69921875,15,
67,28061.650390625,16,
71,27755.427734375,17,
75,27416.1953125,18,
79,27041.1484375,19,
83,26631.21484375,20,
87,26184.234375,21,
91,25700.25,22,
95,25176.71484375,23,
99,,24,34571.64453125
99,24615.033203125,24,
103,24013.45703125,25,
107,23373.376953125,26,
111,22696.5546875,27,
115,21986.5703125,28,
119,21244.185546875,29,
123,20469.529296875,30,
127,19665.728515625,31,
131,18837.06640625,32,
135,17987.064453125,33,
139,17119.400390625,34,
143,16239.7666015625,35,
147,15355.2958984375,36,
149,,37,16528.31640625
151,14472.427734375,37,
155,13596.0966796875,38,
159,12733.4169921875,39,
163,11892.365234375,40,
167,11080.87890625,41,
171,10303.69921875,42,
175,9567.138671875,43,
179,8877.119140625,44,
183,8238.8095703125,45,
187,7655.146484375,46,
191,7132.380859375,47,
195,6672.36572265625,48,
199,,49,10375.2529296875
199,6271.08935546875,49,
203,5928.607421875,50,
207,5639.71630859375,51,
211,5398.9716796875,52,
215,5201.22509765625,53,
219,5042.48583984375,54,
223,4916.880859375,55,
227,4819.76123046875,56,
231,4745.53759765625,57,
235,4690.775390625,58,
239,4648.912109375,59,
243,4615.166015625,60,
247,4587.17822265625,61,
249,,62,5163.84326171875
251,4563.3291015625,62,
255,4542.06298828125,63,
259,4522.6904296875,64,
263,4504.23095703125,65,
267,4486.40234375,66,
271,4469.603515625,67,
275,4453.31689453125,68,
279,4437.2919921875,69,
283,4420.9423828125,70,
287,4404.59619140625,71,
291,4388.05126953125,72,
295,4372.16015625,73,
299,,74,5672.19384765625
299,4356.67333984375,74,
303,4341.69921875,75,
307,4327.3115234375,76,
311,4312.86474609375,77,
315,4297.93212890625,78,
319,4282.7119140625,79,
323,4266.88720703125,80,
327,4251.5107421875,81,
331,4236.541015625,82,
335,4221.77685546875,83,
339,4207.796875,84,
343,4194.5771484375,85,
347,4181.3642578125,86,
349,,87,4391.95166015625
351,4168.0908203125,87,
355,4155.3994140625,88,
359,4143.091796875,89,
363,4131.18212890625,90,
367,4119.5615234375,91,
371,4107.87890625,92,
375,4096.12890625,93,
379,4084.472900390625,94,
383,4073.49560546875,95,
387,4063.302734375,96,
391,4053.283203125,97,
395,4042.97119140625,98,
399,,99,5382.0703125
399,4032.625732421875,99,
